[114.105224609] 2016-12-18 17:59:19,749 - INFO - launcher: Starting sanity checks
[114.670515060] 2016-12-18 17:59:19,749 - INFO - launcher: Checking for python 3.5+
[114.900112152] 2016-12-18 17:59:19,750 - INFO - launcher: Checking console encoding
[115.117311478] 2016-12-18 17:59:19,750 - INFO - launcher: Ensuring we're in the right folder
[116.081714630] 2016-12-18 17:59:19,751 - INFO - launcher: Checks passed.
[116.600036621] 2016-12-18 17:59:19,751 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[7.5407664775848389] 2016-12-18 17:59:27,176 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 542 in get_player: Created player via deserialization for server 249554704508518400 with 0 entries
[7.5411641597747803] 2016-12-18 17:59:27,176 - INFO - musicbot.bot | In bot.py::MainThread(139979969156864), line 270 in _join_startup_channels: Joined Fshare-VOZ OFF HN/Bot-NHẠC-Radio
[7.5685100555419922] 2016-12-18 17:59:27,203 - VOICEDEBUG - musicbot.player | In player.py::MainThread(139979969156864), line 313 in websocket_check: Starting websocket check loop for Fshare-VOZ OFF HN
[12.0427062511444092] 2016-12-18 17:59:31,677 - INFO - musicbot.bot | In bot.py::MainThread(139979969156864), line 2357 in on_message: 214758223389917184/Thiên Phụng#6822: .play nhac khong loi hay nhat
[12.7967021465301514] 2016-12-18 17:59:32,431 - INFO - musicbot.entry | In entry.py::MainThread(139979969156864), line 195 in _download: Download cached: https://www.youtube.com/watch?v=qNnFnZ4Wq9c
[14.7963004112243652] 2016-12-18 17:59:34,431 - FFMPEG - musicbot.player | In player.py::MainThread(139979969156864), line 270 in _play: Creating player with options: -nostdin -vn audio_cache/youtube-qNnFnZ4Wq9c-Cho_n_ba_i_.play_Ten_ba_i_ha_t.m4a
[14.8292906284332275] 2016-12-18 17:59:34,464 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 760 in serialize_queue: Serializing queue for 249554704508518400
[15.4421937465667725] 2016-12-18 17:59:35,077 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 760 in serialize_queue: Serializing queue for 249554704508518400
[15.4634728431701660] 2016-12-18 17:59:35,098 - INFO - musicbot.entry | In entry.py::MainThread(139979969156864), line 195 in _download: Download cached: https://www.youtube.com/watch?v=1UeO4cnZ5fY
[19.1476786136627197] 2016-12-18 17:59:38,782 - FFMPEG - musicbot.player | In player.py::MainThread(139979969156864), line 270 in _play: Creating player with options: -nostdin -vn audio_cache/youtube-1UeO4cnZ5fY-Nh_ng_b_n_nh_c_Khong_L_i_Hay_Nh_t_M_i_Th_i_i_nhadatcaugiay.net.webm
[19.1719694137573242] 2016-12-18 17:59:38,807 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 760 in serialize_queue: Serializing queue for 249554704508518400
[19.1744768619537354] 2016-12-18 17:59:38,809 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 760 in serialize_queue: Serializing queue for 249554704508518400
